frameRate	psychopyVersion	expName	date	show_control_monitor	eeg_record	phase	task	stim_list	experimenter	id	TrialNumber	image	category	subcategory	repeat	task	block	presentation	ran	order	break_text1.started	break_text1.stopped	break_text2.started	break_text2.stopped	delay_red_fix.started	delay_red_fix.stopped	jitter	stim_image.started	stim_image.stopped	photosensor_dot.started	photosensor_dot.stopped	trial_red_fixation.started	trial_red_fixation.stopped	response.keys	response.started	response.stopped	resp	rt	correct	feedback1.started	feedback1.stopped	feedback2.started	feedback2.stopped	resp_trigger_frame	response.rt
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	29	CFD-AF-242-158-N.jpg	faces	female	1	1back	1	2	1	28	None	None	None	None	None	None	107	195.32195	195.82191	195.32195	195.82191	195.07198	195.0719723	j	195.32195	195.0719723	j	0.5209004	1	None	None	None	None	48	0.5209004
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	30	mb_0494.jpg	scenes	natural	1	1back	1	1	1	29	None	None	None	None	None	None	117	197.87172	198.37167	197.87172	198.37167	197.62173	197.621739	None	197.87172	197.621739	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	31	mb_0494.jpg	scenes	natural	1	1back	1	2	1	30	None	None	None	None	None	None	113	200.58815	201.0881	200.58815	201.0881	200.33817	200.338171	j	200.58815	200.338171	j	0.3424711	1	None	None	None	None	37	0.3424711
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	32	CFD-AM-239-147-N.jpg	faces	male	0	1back	1	1	1	31	None	None	None	None	None	None	95	203.23793	203.73788	203.23793	203.73788	202.98795	202.9879421	None	203.23793	202.9879421	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	33	CFD-WF-001-003-N.jpg	faces	female	0	1back	1	1	1	32	None	None	None	None	None	None	110	205.58772	206.08768	205.58772	206.08768	205.33774	205.3377392	None	205.58772	205.3377392	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	34	blueberry01.jpg	objects	natural	0	1back	1	1	1	33	None	None	None	None	None	None	98	208.1875	208.68745	208.1875	208.68745	207.93752	207.9375182	None	208.1875	207.9375182	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	35	jade_iceberg2.jpg	scenes	natural	0	1back	1	1	1	34	None	None	None	None	None	None	110	210.58734	211.0873	210.58734	211.0873	210.33736	210.3373555	None	210.58734	210.3373555	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	36	CFD-WM-208-068-N.jpg	faces	male	1	1back	1	1	1	35	None	None	None	None	None	None	91	213.18709	213.68703	213.18709	213.68703	212.93712	212.9371183	None	213.18709	212.9371183	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	37	CFD-WM-208-068-N.jpg	faces	male	1	1back	1	2	1	36	None	None	None	None	None	None	112	215.47021	215.97017	215.47021	215.97017	215.22023	215.2202311	j	215.47021	215.2202311	j	0.48369294	1	None	None	None	None	45	0.48369294
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	38	CFD-WM-249-239-N.jpg	faces	male	0	1back	1	1	1	37	None	None	None	None	None	None	111	218.10332	218.60327	218.10332	218.60327	217.85333	217.8533369	None	218.10332	217.8533369	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	39	FreeFoto_beach_20_3.jpg	scenes	natural	0	1back	1	1	1	38	None	None	None	None	None	None	94	220.71977	221.21974	220.71977	221.21974	220.46979	220.4697846	None	220.71977	220.4697846	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	40	peanut01.jpg	objects	natural	0	1back	1	1	1	39	None	None	None	None	None	None	116	223.0529	223.55286	223.0529	223.55286	222.80292	222.8029145	None	223.0529	222.8029145	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	41	c_791076.jpg	scenes	manmade	0	1back	1	1	1	40	None	None	None	None	None	None	103	225.75269	226.25264	225.75269	226.25264	225.50269	225.5026886	None	225.75269	225.5026886	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	42	canyon_25_01_askl.jpg	scenes	natural	0	1back	1	1	1	41	None	None	None	None	None	None	102	228.2358	228.73575	228.2358	228.73575	227.98581	227.9858059	None	228.2358	227.9858059	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	43	calanques_17_05_google.jpg	scenes	natural	1	1back	1	1	1	42	None	None	None	None	None	None	111	230.70224	231.2022	230.70224	231.2022	230.45227	230.4522698	None	230.70224	230.4522698	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	44	calanques_17_05_google.jpg	scenes	natural	1	1back	1	2	1	43	None	None	None	None	None	None	96	233.31868	233.81865	233.31868	233.81865	233.06871	233.0687078	j	233.31868	233.0687078	j	0.37839714	1	None	None	None	None	39	0.37839714
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	45	CFD-WF-208-068-N.jpg	faces	female	1	1back	1	1	1	44	None	None	None	None	None	None	115	235.68517	236.18512	235.68517	236.18512	235.43518	235.435188	None	235.68517	235.435188	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	46	CFD-WF-208-068-N.jpg	faces	female	1	1back	1	2	1	45	None	None	None	None	None	None	92	238.36826	238.86821	238.36826	238.86821	238.11827	238.1182695	j	238.36826	238.1182695	j	0.49658608	1	None	None	None	None	46	0.49658608
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	47	private21.jpg	scenes	manmade	1	1back	1	1	1	46	None	None	None	None	None	None	115	240.66806	241.16801	240.66806	241.16801	240.41808	240.4180702	None	240.66806	240.4180702	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	48	private21.jpg	scenes	manmade	1	1back	1	2	1	47	None	None	None	None	None	None	93	243.35117	243.85112	243.35117	243.85112	243.10117	243.1011711	j	243.35117	243.1011711	j	0.3934719	1	None	None	None	None	40	0.3934719
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	49	flowerwreath.jpg	objects	natural	0	1back	1	1	1	48	None	None	None	None	None	None	108	245.66766	246.16763	245.66766	246.16763	245.41766	245.4176712	None	245.66766	245.4176712	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	50	handcuffs.jpg	objects	manmade	0	1back	1	1	1	49	None	None	None	None	None	None	114	248.2341	248.73404	248.2341	248.73404	247.98412	247.9841098	None	248.2341	247.9841098	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	51	stuffedpuffin.jpg	objects	manmade	1	1back	1	1	1	50	None	None	None	None	None	None	109	250.90051	251.40047	250.90051	251.40047	250.65053	250.6505286	None	250.90051	250.6505286	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	52	stuffedpuffin.jpg	objects	manmade	1	1back	1	2	1	51	None	None	None	None	None	None	100	253.48363	253.98358	253.48363	253.98358	253.23364	253.2336428	j	253.48363	253.2336428	j	0.43654397	1	None	None	None	None	43	0.43654397
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	53	CFD-BM-030-003-N.jpg	faces	male	0	1back	1	1	1	52	None	None	None	None	None	None	104	255.91676	256.41672	255.91676	256.41672	255.6668	255.6667965	None	255.91676	255.6667965	n/a	-99	1	None	None	None	None	--	--
